Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11
1.8,-0.499854850531996,-0.42417353107409,-0.298970268087693,-0.0923265952625266,-0.311142250711808,-0.498818470218362,0.238238358408261,0.220171725230048,0.346190107474762,0.20793159138565
1.815,-0.499919812401247,-0.424238525865155,-0.299035300311675,-0.0923916694751316,-0.311207371508302,-0.498833377774292,0.23822344762092,0.220156810201478,0.346175187183025,0.207916664797786
1.83,-0.499984680076247,-0.424303413238111,-0.299100211729046,-0.0924566093425503,-0.311272344285799,-0.498848289545324,0.238208535564504,0.220141896892097,0.34616027163779,0.207901746019543
1.845,-0.500049529586752,-0.424368269809934,-0.299165079504271,-0.0925214925362916,-0.311337247181667,-0.498863222760127,0.23819360486792,0.220126967797165,0.346145343209577,0.207886817305746
1.86,-0.500114433201196,-0.424433168537506,-0.299229977244591,-0.0925863932752213,-0.311402154987004,-0.498878193723982,0.238178639060777,0.22011200628964,0.34613038512329,0.207871861741981
1.875,-0.5001794588351,-0.424498178123694,-0.299294974403611,-0.0926513817264405,-0.311467138544537,-0.498893217681756,0.238163622710681,0.220096996757772,0.346115381596134,0.207856863382845
1.89,-0.500244669470552,-0.424563362434905,-0.299360135696983,-0.0927165234190851,-0.311532264160462,-0.498908308682569,0.238148541558863,0.220081924740979,0.346100317973703,0.207841807388251
1.905,-0.500310122586762,-0.424628779929438,-0.299425520528797,-0.0927818786689363,-0.3115975930274,-0.49892347944675,0.238133382653667,0.220066777063695,0.346085180864132,0.207826680157828
1.92,-0.500375869605826,-0.424694483100083,-0.299491182431427,-0.0928475020158891,-0.311663180659803,-0.498938741236611,0.238118134480539,0.220051541966003,0.34606995826926,0.207811469462503
1.935,-0.500441955361682,-0.424760517938312,-0.299557168525542,-0.0929134416803153,-0.311729076347163,-0.498954103733412,0.238102787086263,0.220036209228931,0.346054639710832,0.207796164571487
1.95,-0.500508417603594,-0.424826923430887,-0.299623519010533,-0.0929797390479744,-0.311795322634041,-0.49896957492363,0.23808733219447,0.220020770291542,0.34603921634902,0.207780756372055
1.965,-0.500575286548219,-0.424893731102537,-0.299690266698556,-0.0930464281961849,-0.311861954839104,-0.498985160998156,0.23807176330884,0.220005218356365,0.346023681089878,0.207765237478843
1.98,-0.500642584496187,-0.42496096462036,-0.299757436607567,-0.0931135354762854,-0.311929000627809,-0.49900086626841,0.238056075800074,0.219989548479264,0.346008028677919,0.207749602328944
1.995,-0.500710325530077,-0.425028639476773,-0.299825045630004,-0.0931810791688423,-0.31199647965494,-0.499016693103418,0.238040266972576,0.219973757639694,0.345992255769781,0.207733847258788
2.01,-0.500778515310515,-0.425096762767821,-0.299893102294003,-0.0932490692284925,-0.312064403293836,-0.499032641891752,0.238024336106898,0.219957844787398,0.345976360984996,0.207717970558825
2.025,-0.500847150985994,-0.425165333082716,-0.299961606633224,-0.0933175071346759,-0.312132774468686,-0.499048711031778,0.238008284474426,0.219941810861898,0.34596034493017,0.207701972502249
2.04,-0.500916221229733,-0.425234340518394,-0.300030550179494,-0.093386385862821,-0.312201587604772,-0.499064896953009,0.237992115321358,0.219925658781749,0.345944210193425,0.207685855344535
2.055,-0.500985706413749,-0.425303766829839,-0.300099916089591,-0.0934556899878436,-0.312270828709007,-0.499081194170479,0.237975833819935,0.21990939340134,0.345927961306744,0.207669623291264
2.07,-0.501055578926323,-0.425373585723104,-0.300169679413776,-0.0935253959282412,-0.312340475589708,-0.499097595373009,0.237959446985826,0.219893021433988,0.345911604674779,0.207653282432668
